,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,roll_required,wav,pwav,der,er_index,ir,tr_index
2016-03-30,CLF17,CLF17,21,1.0,0.0,False,False,0.04318,0.04272,0.010767790262172339,93.74268704,8.614523860694945e-06,93.80878265
2016-03-31,CLF17,CLF17,22,1.0,0.0,False,False,0.0433,0.04318,0.0027790643816580918,94.003204,8.614523860694945e-06,94.07029141
2016-04-01,CLF17,CLJ17,1,1.0,0.0,False,True,0.04174,0.0433,-0.03602771362586599,90.61648349,8.614523860694945e-06,90.68196426
2016-04-04,CLF17,CLJ17,2,1.0,0.0,False,True,0.040549999999999996,0.04174,-0.028509822712026955,88.03302361,1.9172424259306098e-05,88.09837613
2016-04-05,CLF17,CLJ17,3,1.0,0.0,False,True,0.04034,0.040549999999999996,-0.0051787916152896685,87.57711893,6.390767244512929e-06,87.64269602
2016-04-06,CLF17,CLJ17,4,1.0,0.0,False,True,0.04203,0.04034,0.041893901834407554,91.24606615,6.390767244512929e-06,91.31495062
2016-04-07,CLF17,CLJ17,5,1.0,0.0,False,True,0.04145,0.04203,-0.01379966690459189,89.98690083,6.390767244512929e-06,90.05541829
2016-04-08,CLF17,CLJ17,6,0.8,0.2,False,True,0.04373,0.04145,0.055006031363088015,94.93672312,6.390767244512929e-06,95.00958498
2016-04-11,CLF17,CLJ17,7,0.6,0.4,False,True,0.04467800000000001,0.04385,0.018882554161915754,96.72937094,1.9172424259306098e-05,96.80543018
2016-04-12,CLF17,CLJ17,8,0.3999999999999999,0.6000000000000001,False,True,0.04619,0.044796,0.031118849897312284,99.73947771,6.390767244512929e-06,99.81852249
2016-04-13,CLF17,CLJ17,9,0.19999999999999996,0.8,False,True,0.046144000000000004,0.04629,-0.0031540289479368155,99.42489651,6.390767244512929e-06,99.5043299
2016-04-14,CLF17,CLJ17,10,0.0,1.0,False,True,0.045762000000000004,0.046262000000000005,-0.010808006571268014,98.35031158,6.390767244512929e-06,98.42952236
2016-04-15,CLF17,CLJ17,11,0.0,1.0,False,True,0.04496,0.045880000000000004,-0.02005231037489108,96.37816061,6.390767244512929e-06,96.45641207
2016-04-18,CLF17,CLJ17,12,0.0,1.0,False,True,0.04467,0.04496,-0.006450177935943047,95.75650432,1.9172424259306098e-05,95.83610035
2016-04-19,CLF17,CLJ17,13,0.0,1.0,False,True,0.04567,0.04467,0.022386389075442104,97.90014668,6.390767244512929e-06,97.98213704
2016-04-20,CLF17,CLJ17,14,0.0,1.0,False,True,0.047130000000000005,0.04567,0.031968469454784376,101.02986453,6.390767244512929e-06,101.11510218
2016-04-21,CLF17,CLJ17,15,0.0,1.0,False,True,0.046340000000000006,0.047130000000000005,-0.016762147252280868,99.33638706,6.390767244512929e-06,99.42084215
