date,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,wav,pwav,der,er_index,ir,tr_index
2016-01-04,CLG16,CLH16,1,1.0,0.0,False,,,,100.0,0.0,100.0
2016-01-05,CLG16,CLH16,2,1.0,0.0,False,0.03597,0.03676,-0.02149075081610441,97.85092492,6.946663748896853e-06,97.85161959
2016-01-06,CLG16,CLH16,3,1.0,0.0,False,0.03397,0.03597,-0.05560189046427588,92.41022851,6.946663748896853e-06,92.4115643
2016-01-07,CLG16,CLH16,4,1.0,0.0,False,0.03327,0.03397,-0.020606417427141532,90.50598477,6.946663748896853e-06,90.50793499
2016-01-08,CLG16,CLH16,5,1.0,0.0,False,0.033159999999999995,0.03327,-0.003306281935677946,90.20674647,6.946663748896853e-06,90.20931897
2016-01-11,CLG16,CLH16,6,0.8,0.2,False,0.03141,0.033159999999999995,-0.0527744270205065,85.44613711,2.0840136015110033e-05,85.45045382
2016-01-12,CLG16,CLH16,7,0.6,0.4,False,0.030656000000000003,0.031632,-0.030854830551340306,82.80971103,6.946663748896853e-06,82.81448814
2016-01-13,CLG16,CLH16,8,0.3999999999999999,0.6000000000000001,False,0.030844,0.030872,-0.0009069707178025466,82.73460505,6.946663748896853e-06,82.73995311
2016-01-14,CLG16,CLH16,9,0.19999999999999996,0.8,False,0.031745999999999996,0.031026,0.023206343067104784,84.65457268,6.946663748896853e-06,84.66061962
2016-01-15,CLG16,CLH16,10,0.0,1.0,False,0.030196,0.031928,-0.05424705587572032,80.06231135,6.946663748896853e-06,80.06861837
2016-01-19,CLG16,CLH16,11,0.0,1.0,False,0.02957,0.03039,-0.026982560052648985,77.90202523,2.778694453331454e-05,77.91038693
2016-01-20,CLG16,CLH16,12,0.0,1.0,False,0.02835,0.02957,-0.04125803178897525,74.687941,6.946663748896853e-06,74.69649893
2016-01-21,CLG16,CLH16,13,0.0,1.0,False,0.02953,0.02835,0.041622574955908265,77.79664542,6.946663748896853e-06,77.80607844
2016-01-22,CLG16,CLH16,14,0.0,1.0,False,0.032189999999999996,0.02953,0.09007788689468321,84.80440285,6.946663748896853e-06,84.81522607
2016-01-25,CLG16,CLH16,15,0.0,1.0,False,0.03034,0.032189999999999996,-0.05747126436781602,79.93058659,2.0840136015110033e-05,79.94255535
2016-01-26,CLG16,CLH16,16,0.0,1.0,False,0.03145,0.03034,0.03658536585365857,82.85487634,6.946663748896853e-06,82.86783832
2016-01-27,CLG16,CLH16,17,0.0,1.0,False,0.032299999999999995,0.03145,0.027027027027026973,85.09419732,6.946663748896853e-06,85.10808528
2016-01-28,CLG16,CLH16,18,0.0,1.0,False,0.03322,0.032299999999999995,0.028482972136222973,87.51793297,6.946663748896853e-06,87.53280772
2016-01-29,CLG16,CLH16,19,0.0,1.0,False,0.03362,0.03322,0.012040939193256994,88.57173108,6.946663748896853e-06,88.587393
2016-02-01,CLH16,CLJ16,1,1.0,0.0,False,0.03162,0.03362,-0.05948839976204623,83.30274053,2.0840136015110033e-05,83.31931692
2016-02-02,CLH16,CLJ16,2,1.0,0.0,False,0.02988,0.03162,-0.05502846299810249,78.71871876,8.892525428683129e-06,78.7351239
2016-02-03,CLH16,CLJ16,3,1.0,0.0,False,0.03228,0.02988,0.08032128514056236,85.04150742,8.892525428683129e-06,85.0599304
2016-02-04,CLH16,CLJ16,4,1.0,0.0,False,0.03172,0.03228,-0.0173482032218093,83.56619007,8.892525428683129e-06,83.58504984
2016-02-05,CLH16,CLJ16,5,1.0,0.0,False,0.03089,0.03172,-0.026166456494325252,81.37955899,8.892525428683129e-06,81.39866855
2016-02-08,CLH16,CLJ16,6,0.8,0.2,False,0.02969,0.03089,-0.038847523470378786,78.21816466,2.6677813517839155e-05,78.2387034
2016-02-09,CLH16,CLJ16,7,0.6,0.4,False,0.0283,0.030080000000000003,-0.059175531914893775,73.58956316,8.892525428683129e-06,73.60958225
2016-02-10,CLH16,CLJ16,8,0.3999999999999999,0.6000000000000001,False,0.028333999999999998,0.028659999999999998,-0.011374738311235144,72.75250114,8.892525428683129e-06,72.77294709
2016-02-11,CLH16,CLJ16,9,0.19999999999999996,0.8,False,0.027782,0.028776,-0.03454267445093129,70.23943518,8.892525428683129e-06,70.25982201
2016-02-12,CLH16,CLJ16,10,0.0,1.0,False,0.031416,0.028306,0.10987069879177547,77.95669101,8.892525428683129e-06,77.97994254
2016-02-16,CLH16,CLJ16,11,0.0,1.0,False,0.030969999999999998,0.03191,-0.029457850203697955,75.66025448,3.5570576179866364e-05,75.68559486
2016-02-17,CLH16,CLJ16,12,0.0,1.0,False,0.032979999999999995,0.030969999999999998,0.06490151759767504,80.57071982,8.892525428683129e-06,80.59837787
2016-02-18,CLH16,CLJ16,13,0.0,1.0,False,0.03293,0.032979999999999995,-0.0015160703456639224,80.44856894,8.892525428683129e-06,80.47690178
2016-02-19,CLH16,CLJ16,14,0.0,1.0,False,0.03175,0.03293,-0.03583358639538414,77.56580819,8.892525428683129e-06,77.59384141
