date,year,month,market_condition,static_roll_out,static_roll_in,static_roll_spread,dynamic_roll_out,dynamic_roll_in,roll_required,dynamic_roll_spread,spread_saving
2020-02-10,2020,2,Contango,CLH20,CLJ20,-0.23799999999999955,CLU20,CLG21,True,0.2840000000000032,0.5220000000000027
2020-03-09,2020,3,Contango,CLJ20,CLK20,-0.3960000000000001,CLG21,CLG21,False,0.0,0.3960000000000001
2020-04-08,2020,4,Contango,CLK20,CLM20,-6.29,CLG21,CLG21,False,0.0,6.29
2020-05-08,2020,5,Contango,CLM20,CLN20,-0.7259999999999998,CLG21,CLK21,True,-1.100000000000002,-0.37400000000000233
2020-06-08,2020,6,Contango,CLN20,CLQ20,-0.22399999999999948,CLK21,CLK21,False,0.0,0.22399999999999948
2020-07-09,2020,7,Contango,CLQ20,CLU20,-0.21999999999999886,CLK21,CLK21,False,0.0,0.21999999999999886
2020-08-10,2020,8,Contango,CLU20,CLV20,-0.2700000000000017,CLK21,CLQ21,True,-0.3559999999999988,-0.08599999999999713
2020-09-09,2020,9,Contango,CLV20,CLX20,-0.3219999999999999,CLQ21,CLQ21,False,0.0,0.3219999999999999
2020-10-08,2020,10,Contango,CLX20,CLZ20,-0.2959999999999994,CLQ21,CLQ21,False,0.0,0.2959999999999994
2020-11-09,2020,11,Contango,CLZ20,CLF21,-0.297999999999999,CLQ21,CLV21,True,-0.16200000000000186,0.13599999999999712
2020-12-08,2020,12,Contango,CLF21,CLG21,-0.1839999999999975,CLV21,CLV21,False,0.0,0.1839999999999975
2021-01-11,2021,1,Contango,CLG21,CLH21,-0.04200000000000159,CLV21,CLV21,False,0.0,0.04200000000000159
2021-02-08,2021,2,Backwardation,CLH21,CLJ21,0.10999999999999943,CLV21,CLV21,False,0.0,-0.10999999999999943
2021-03-08,2021,3,Backwardation,CLJ21,CLK21,0.029999999999996873,CLV21,CLV21,False,0.0,-0.029999999999996873
2021-04-09,2021,4,Contango,CLK21,CLM21,-0.0519999999999996,CLV21,CLV21,False,0.0,0.0519999999999996
2021-05-10,2021,5,Contango,CLM21,CLN21,-0.011999999999999034,CLV21,CLG22,True,1.7239999999999995,1.7359999999999987
2021-06-08,2021,6,Backwardation,CLN21,CLQ21,0.22199999999999703,CLG22,CLV21,True,-2.430000000000001,-2.651999999999998
2021-07-09,2021,7,Backwardation,CLQ21,CLU21,0.5460000000000008,CLV21,CLV21,False,0.0,-0.5460000000000008
2021-08-09,2021,8,Backwardation,CLU21,CLV21,0.2120000000000033,CLV21,CLG22,True,1.6759999999999962,1.4639999999999929
2021-09-09,2021,9,Backwardation,CLV21,CLX21,0.24799999999999897,CLG22,CLU22,True,3.031999999999999,2.7840000000000003
2021-10-08,2021,10,Backwardation,CLX21,CLZ21,0.6139999999999987,CLU22,CLU22,False,0.0,-0.6139999999999987
2021-11-08,2021,11,Backwardation,CLZ21,CLF22,1.2660000000000053,CLU22,CLH22,True,-4.846000000000001,-6.112000000000006
2021-12-08,2021,12,Backwardation,CLF22,CLG22,0.19199999999999875,CLH22,CLZ22,True,2.832000000000002,2.6400000000000032
2022-01-10,2022,1,Backwardation,CLG22,CLH22,0.5439999999999998,CLZ22,CLU22,True,-2.1259999999999963,-2.6699999999999964
2022-02-08,2022,2,Backwardation,CLH22,CLJ22,1.5099999999999938,CLU22,CLJ22,True,-6.410000000000002,-7.9199999999999955
2022-03-08,2022,3,Backwardation,CLJ22,CLK22,3.1180000000000008,CLJ22,CLN22,True,9.923999999999998,6.805999999999997
2022-04-08,2022,4,Backwardation,CLK22,CLM22,0.4759999999999991,CLN22,CLV22,True,2.9640000000000044,2.4880000000000053
2022-05-09,2022,5,Backwardation,CLM22,CLN22,1.5799999999999983,CLV22,CLV22,False,0.0,-1.5799999999999983
2022-06-08,2022,6,Backwardation,CLN22,CLQ22,2.530000000000001,CLV22,CLV22,False,0.0,-2.530000000000001
2022-07-11,2022,7,Backwardation,CLQ22,CLU22,2.7700000000000045,CLV22,CLV22,False,0.0,-2.7700000000000045
2022-08-08,2022,8,Backwardation,CLU22,CLV22,0.7660000000000025,CLV22,CLV22,False,0.0,-0.7660000000000025
2022-09-09,2022,9,Backwardation,CLV22,CLX22,0.4200000000000017,CLV22,CLH23,True,3.432000000000002,3.0120000000000005
2022-10-10,2022,10,Backwardation,CLX22,CLZ22,1.1999999999999944,CLH23,CLH23,False,0.0,-1.1999999999999944
2022-11-08,2022,11,Backwardation,CLZ22,CLF23,0.8120000000000005,CLH23,CLH23,False,0.0,-0.8120000000000005
2022-12-08,2022,12,Contango,CLF23,CLG23,-0.1,CLH23,CLZ23,True,1.0019999999999982,1.1019999999999983
2023-01-10,2023,1,Contango,CLG23,CLH23,-0.2600000000000023,CLZ23,CLZ23,False,0.0,0.2600000000000023
2023-02-08,2023,2,Contango,CLH23,CLJ23,-0.19999999999999715,CLZ23,CLX23,True,-0.4940000000000026,-0.2940000000000055
2023-03-08,2023,3,Contango,CLJ23,CLK23,-0.1280000000000001,CLX23,CLG24,True,1.2660000000000053,1.3940000000000055
2023-04-11,2023,4,Backwardation,CLK23,CLM23,0.0839999999999975,CLG24,CLV23,True,-2.628,-2.7119999999999975
2023-05-08,2023,5,Backwardation,CLM23,CLN23,0.046000000000003635,CLV23,CLV23,False,0.0,-0.046000000000003635
2023-06-08,2023,6,Contango,CLN23,CLQ23,-0.16599999999999682,CLV23,CLZ23,True,0.5419999999999987,0.7079999999999955
2023-07-11,2023,7,Backwardation,CLQ23,CLU23,0.12600000000000194,CLZ23,CLN24,True,2.566,2.4399999999999977
2023-08-08,2023,8,Backwardation,CLU23,CLV23,0.602000000000001,CLN24,CLV23,True,-4.483999999999997,-5.0859999999999985
2023-09-11,2023,9,Backwardation,CLV23,CLX23,0.6500000000000028,CLV23,CLG24,True,3.280000000000001,2.629999999999998
2023-10-09,2023,10,Backwardation,CLX23,CLZ23,1.4980000000000018,CLG24,CLG24,False,0.0,-1.4980000000000018
2023-11-08,2023,11,Backwardation,CLZ23,CLF24,0.03799999999999955,CLG24,CLV24,True,2.3879999999999995,2.35
2023-12-08,2023,12,Contango,CLF24,CLG24,-0.2539999999999992,CLV24,CLV24,False,0.0,0.2539999999999992
2024-01-09,2024,1,Contango,CLG24,CLH24,-0.08400000000000034,CLV24,CLV24,False,0.0,0.08400000000000034
2024-02-08,2024,2,Backwardation,CLH24,CLJ24,0.15800000000000408,CLV24,CLV24,False,0.0,-0.15800000000000408
2024-03-08,2024,3,Backwardation,CLJ24,CLK24,0.432000000000005,CLV24,CLV24,False,0.0,-0.432000000000005
2024-04-08,2024,4,Backwardation,CLK24,CLM24,0.7180000000000006,CLV24,CLV24,False,0.0,-0.7180000000000006
2024-05-08,2024,5,Backwardation,CLM24,CLN24,0.44000000000000056,CLV24,CLV24,False,0.0,-0.44000000000000056
2024-06-10,2024,6,Backwardation,CLN24,CLQ24,0.3740000000000009,CLV24,CLV24,False,0.0,-0.3740000000000009
2024-07-09,2024,7,Backwardation,CLQ24,CLU24,1.0759999999999992,CLV24,CLV24,False,0.0,-1.0759999999999992
2024-08-08,2024,8,Backwardation,CLU24,CLV24,1.3340000000000003,CLV24,CLV24,False,0.0,-1.3340000000000003
2024-09-10,2024,9,Backwardation,CLV24,CLX24,0.8220000000000027,CLV24,CLX24,True,0.8220000000000027,0.0
2024-10-08,2024,10,Backwardation,CLX24,CLZ24,0.6559999999999974,CLX24,CLZ24,True,0.6559999999999974,0.0
2024-11-08,2024,11,Backwardation,CLZ24,CLF25,0.17600000000000193,CLZ24,CLF25,True,0.17600000000000193,0.0
2024-12-09,2024,12,Backwardation,CLF25,CLG25,0.37000000000000455,CLF25,CLG25,True,0.37000000000000455,0.0
2025-01-09,2025,1,Backwardation,CLG25,CLH25,1.0960000000000008,CLG25,CLH25,True,1.0960000000000008,0.0
2025-02-10,2025,2,Backwardation,CLH25,CLJ25,0.17199999999999988,CLH25,CLU25,True,1.9919999999999987,1.8199999999999987
