롤결정일,연도,월,시장상황,정적_롤아웃_월물,정적_롤인_월물,정적_순수IRY,동적_롤아웃_월물,동적_롤인_월물,동적_순수IRY,롤실행여부,순수IRY_절감액
2019-12-09,2019,12,Backwardation,CLF20,CLG20,0.0016972165648336968,CLM20,CLM20,0.0,False,-0.0016972165648336968
2020-01-09,2020,1,Backwardation,CLG20,CLH20,0.0020188425302827147,CLM20,CLU20,0.00833333333333333,True,0.006314490803050615
2020-02-10,2020,2,Contango,CLH20,CLJ20,-0.004218561671353974,CLU20,CLG21,-0.00023645320197045232,True,0.0039821084693835215
2020-03-09,2020,3,Contango,CLJ20,CLK20,-0.010803940260565614,CLG21,CLG21,0.0,False,0.010803940260565614
2020-04-08,2020,4,Contango,CLK20,CLM20,-0.16837918462048398,CLG21,CLG21,0.0,False,0.16837918462048398
2020-05-08,2020,5,Contango,CLM20,CLN20,-0.054642720672525916,CLG21,CLK21,-0.010664318559827838,True,0.04397840211269808
2020-06-08,2020,6,Contango,CLN20,CLQ20,-0.006245120999219412,CLK21,CLK21,0.0,False,0.006245120999219412
2020-07-09,2020,7,Contango,CLQ20,CLU20,-0.005272407732864697,CLK21,CLK21,0.0,False,0.005272407732864697
2020-08-10,2020,8,Contango,CLU20,CLV20,-0.005454114299264974,CLK21,CLQ21,-0.002855425308085382,True,0.0025986889911795924
2020-09-09,2020,9,Contango,CLV20,CLX20,-0.009372559229367338,CLQ21,CLQ21,0.0,False,0.009372559229367338
2020-10-08,2020,10,Contango,CLX20,CLZ20,-0.006751868820834366,CLQ21,CLQ21,0.0,False,0.006751868820834366
2020-11-09,2020,11,Contango,CLZ20,CLF21,-0.00812407680945343,CLQ21,CLV21,-0.002464210279277175,True,0.005659866530176256
2020-12-08,2020,12,Contango,CLF21,CLG21,-0.004366812227074143,CLV21,CLV21,0.0,False,0.004366812227074143
2021-01-11,2021,1,Contango,CLG21,CLH21,-0.0003826286588866104,CLV21,CLV21,0.0,False,0.0003826286588866104
2021-02-08,2021,2,Backwardation,CLH21,CLJ21,0.0024208888120352857,CLV21,CLV21,0.0,False,-0.0024208888120352857
2021-03-08,2021,3,Backwardation,CLJ21,CLK21,0.00184814415524396,CLV21,CLV21,0.0,False,-0.00184814415524396
2021-04-09,2021,4,Contango,CLK21,CLM21,-0.0005054759898904993,CLV21,CLV21,0.0,False,0.0005054759898904993
2021-05-10,2021,5,Contango,CLM21,CLN21,-0.00015401201293708787,CLV21,CLG22,0.007017965992941931,True,0.007171978005879019
2021-06-08,2021,6,Backwardation,CLN21,CLQ21,0.002576212966938494,CLG22,CLV21,-0.03549090909090906,True,-0.038067122057847555
2021-07-09,2021,7,Backwardation,CLQ21,CLU21,0.01016122476629183,CLV21,CLV21,0.0,False,-0.01016122476629183
2021-08-09,2021,8,Backwardation,CLU21,CLV21,0.0027149321266969357,CLV21,CLG22,0.0057475698194722835,True,0.003032637692775348
2021-09-09,2021,9,Backwardation,CLV21,CLX21,0.0032391048292108194,CLG22,CLU22,0.00596350689808632,True,0.0027244020688755007
2021-10-08,2021,10,Backwardation,CLX21,CLZ21,0.007491112239715454,CLU22,CLU22,0.0,False,-0.007491112239715454
2021-11-08,2021,11,Backwardation,CLZ21,CLF22,0.014738667327223334,CLU22,CLH22,-0.058545918367346975,True,-0.0732845856945703
2021-12-08,2021,12,Backwardation,CLF22,CLG22,0.0024937655860348103,CLH22,CLZ22,0.00468666956563755,True,0.0021929039796027396
2022-01-10,2022,1,Backwardation,CLG22,CLH22,0.006821106821106836,CLZ22,CLU22,-0.025443226417647794,True,-0.03226433323875463
2022-02-08,2022,2,Backwardation,CLH22,CLJ22,0.016609783845278652,CLU22,CLJ22,-0.06621160409556322,True,-0.08282138794084187
2022-03-08,2022,3,Backwardation,CLJ22,CLK22,0.03384872544922689,CLJ22,CLN22,0.03870793106559597,True,0.004859205616369079
2022-04-08,2022,4,Backwardation,CLK22,CLM22,0.005423104471503132,CLN22,CLV22,0.008275230650045807,True,0.0028521261785426745
2022-05-09,2022,5,Backwardation,CLM22,CLN22,0.012970423503979634,CLV22,CLV22,0.0,False,-0.012970423503979634
2022-06-08,2022,6,Backwardation,CLN22,CLQ22,0.019452329270328923,CLV22,CLV22,0.0,False,-0.019452329270328923
2022-07-11,2022,7,Backwardation,CLQ22,CLU22,0.028455686197016203,CLV22,CLV22,0.0,False,-0.028455686197016203
2022-08-08,2022,8,Backwardation,CLU22,CLV22,0.00922940064494605,CLV22,CLV22,0.0,False,-0.00922940064494605
2022-09-09,2022,9,Backwardation,CLV22,CLX22,0.0049791570171376425,CLV22,CLH23,0.007631578947368449,True,0.0026524219302308067
2022-10-10,2022,10,Backwardation,CLX22,CLZ22,0.01435886019590374,CLH23,CLH23,0.0,False,-0.01435886019590374
2022-11-08,2022,11,Backwardation,CLZ22,CLF23,0.010340909090909052,CLH23,CLH23,0.0,False,-0.010340909090909052
2022-12-08,2022,12,Contango,CLF23,CLG23,-0.001676445934618672,CLH23,CLZ23,0.0005918449989097521,True,0.0022682909335284243
2023-01-10,2023,1,Contango,CLG23,CLH23,-0.003316969616558312,CLZ23,CLZ23,0.0,False,0.003316969616558312
2023-02-08,2023,2,Contango,CLH23,CLJ23,-0.0027957809124412106,CLZ23,CLX23,-0.006388526727509896,True,-0.0035927458150686858
2023-03-08,2023,3,Contango,CLJ23,CLK23,-0.0019528707199584128,CLX23,CLG24,0.006194610236932558,True,0.008147480956890971
2023-04-11,2023,4,Backwardation,CLK23,CLM23,0.0004908577739600718,CLG24,CLV23,-0.03461781427668994,True,-0.03510867205065001
2023-05-08,2023,5,Backwardation,CLM23,CLN23,0.0012316956343232984,CLV23,CLV23,0.0,False,-0.0012316956343232984
2023-06-08,2023,6,Contango,CLN23,CLQ23,-0.0020996640537512806,CLV23,CLZ23,0.005338078291814947,True,0.007437742345566227
2023-07-11,2023,7,Backwardation,CLQ23,CLU23,0.0016062106813010916,CLZ23,CLN24,0.00484600905122352,True,0.003239798369922429
2023-08-08,2023,8,Backwardation,CLU23,CLV23,0.006799417192812072,CLN24,CLV23,-0.05245264691597855,True,-0.05925206410879062
2023-09-11,2023,9,Backwardation,CLV23,CLX23,0.007269789983845023,CLV23,CLG24,0.008713692946058128,True,0.0014439029622131047
2023-10-09,2023,10,Backwardation,CLX23,CLZ23,0.021040189125295525,CLG24,CLG24,0.0,False,-0.021040189125295525
2023-11-08,2023,11,Backwardation,CLZ23,CLF24,0.00026556898154290293,CLG24,CLV24,0.0037712561711464665,True,0.0035056871896035637
2023-12-08,2023,12,Contango,CLF24,CLG24,-0.0029395296752518724,CLV24,CLV24,0.0,False,0.0029395296752518724
2024-01-09,2024,1,Contango,CLG24,CLH24,-0.0006916585973165218,CLV24,CLV24,0.0,False,0.0006916585973165218
2024-02-08,2024,2,Backwardation,CLH24,CLJ24,0.0003937524609528959,CLV24,CLV24,0.0,False,-0.0003937524609528959
2024-03-08,2024,3,Backwardation,CLJ24,CLK24,0.006580645161290389,CLV24,CLV24,0.0,False,-0.006580645161290389
2024-04-08,2024,4,Backwardation,CLK24,CLM24,0.010522623640827846,CLV24,CLV24,0.0,False,-0.010522623640827846
2024-05-08,2024,5,Backwardation,CLM24,CLN24,0.0054735234215885,CLV24,CLV24,0.0,False,-0.0054735234215885
2024-06-10,2024,6,Backwardation,CLN24,CLQ24,0.005301952670373679,CLV24,CLV24,0.0,False,-0.005301952670373679
2024-07-09,2024,7,Backwardation,CLQ24,CLU24,0.010551142005958221,CLV24,CLV24,0.0,False,-0.010551142005958221
2024-08-08,2024,8,Backwardation,CLU24,CLV24,0.015325159914712038,CLV24,CLV24,0.0,False,-0.015325159914712038
2024-09-10,2024,9,Backwardation,CLV24,CLX24,0.009364445809026702,CLV24,CLX24,0.009364445809026702,True,0.0
2024-10-08,2024,10,Backwardation,CLX24,CLZ24,0.008084406686763348,CLX24,CLZ24,0.008084406686763348,True,0.0
2024-11-08,2024,11,Backwardation,CLZ24,CLF25,0.0038510911424903156,CLZ24,CLF25,0.0038510911424903156,True,0.0
2024-12-09,2024,12,Backwardation,CLF25,CLG25,0.004112204435306229,CLF25,CLG25,0.004112204435306229,True,0.0
2025-01-09,2025,1,Backwardation,CLG25,CLH25,0.009284543965046516,CLG25,CLH25,0.009284543965046516,True,0.0
2025-02-10,2025,2,Backwardation,CLH25,CLJ25,0.004304957644771393,CLH25,CLU25,0.005745482286749623,True,0.0014405246419782296
2025-03-10,2025,3,Backwardation,CLJ25,CLK25,0.005328867235079085,CLU25,CLN25,-0.012490362374710687,True,-0.017819229609789773
2025-04-08,2025,4,Backwardation,CLK25,CLM25,0.00812182741116746,CLN25,CLN25,0.0,False,-0.00812182741116746
2025-05-08,2025,5,Backwardation,CLM25,CLN25,0.0065524193548386,CLN25,CLN25,0.0,False,-0.0065524193548386
2025-06-09,2025,6,Backwardation,CLN25,CLQ25,0.016661476175646332,CLN25,CLQ25,0.016661476175646332,True,0.0
2025-07-09,2025,7,Backwardation,CLQ25,CLU25,0.021054203374645312,CLQ25,CLU25,0.021054203374645312,True,0.0
2025-08-08,2025,8,Backwardation,CLU25,CLV25,0.013968253968254008,CLU25,CLV25,0.013968253968254008,True,0.0
2025-09-09,2025,9,Backwardation,CLV25,CLX25,0.0054583400224755725,CLV25,CLX25,0.0054583400224755725,True,0.0
2025-10-08,2025,10,Backwardation,CLX25,CLZ25,0.008545630441792873,CLX25,CLZ25,0.008545630441792873,True,0.0
2025-11-10,2025,11,Backwardation,CLZ25,CLF26,0.0016658337497917944,CLZ25,CLG26,0.002003673401235615,True,0.0003378396514438207
2025-12-08,2025,12,Backwardation,CLF26,CLG26,0.004264028654272557,CLG26,CLG26,0.0,False,-0.004264028654272557
2026-01-09,2026,1,Backwardation,CLG26,CLH26,0.003053953172718014,CLG26,CLH26,0.003053953172718014,True,0.0
2026-02-09,2026,2,Backwardation,CLH26,CLJ26,0.0024922118380061773,CLH26,CLV26,0.003922641853676334,True,0.0014304300156701565
2026-03-09,2026,3,Backwardation,CLJ26,CLK26,0.03596414516834272,CLV26,CLM26,-0.1459559247721242,True,-0.18192006994046694
